,n,Levels,Depth,Number_of_non_zeros,lam_val,Gurobi_obj_P,Para_Algo_obj,Gurobi_opt_gap_P,Gurobi_time_P,ST_Para_time,BnB_Nodes_P,M,Gurobi_obj_M,Gurobi_opt_gap_M,Objective_Diff_M,Gurobi_time_M,BnB_Nodes_M,,,,n,lam_value,Number_of_non_zeros,NZ %,Gurobi_obj_M,Para_Algo_obj,Gurobi_time_M,ST_Para_time,Gurobi_opt_gap_M,BnB_Nodes_M,Bounds(M)
0,200,,28,181,0.2,-2027.093226,-2027.093237,3.81E-07,1.517179138,0.194422408,659,80.54375328,-2027.093164,6.56E-05,-7.34E-05,0.922973346,1,,,,200,0.2,183.2,91.6,-2042.180619,-2042.187,0.760945481,0.194037886,4.90548E-05,1,81.46877352
0,200,,34,187,0.2,-2002.61627,-2002.671142,3.19E-05,0.044936086,0.192185563,1,80.86024609,-2002.671037,1.51E-05,-0.000104694,0.737582569,1,,,,200,2,147.4,73.7,-1681.290099,-1681.296,4.34627379,0.190760629,4.22489E-05,4578.6,81.53838255
0,200,,30,182,0.2,-1980.555476,-1980.575333,5.25E-05,1.958144936,0.196268484,781,80.78294756,-1980.567595,5.19E-05,-0.007738208,0.800986491,1,,,,200,5,121.8,60.9,-1367.696857,-1367.705,7.58142017,0.177786448,5.88523E-06,29079,82.2953663
0,200,,36,187,0.2,-2198.984804,-2199.008808,7.37E-05,2.343941201,0.192738077,1262,83.80124227,-2198.985279,7.72E-05,-0.02352911,0.918831315,1,,,,200,5.5,118.6,59.3,-1222.055379,-1222.055411,18.65770525,0.178651118,1.97513E-05,129661.4,81.527777
0,200,,36,179,0.2,-2001.570679,-2001.586041,3.99E-05,0.086940273,0.194574897,1,81.35567838,-2001.586021,3.55E-05,-1.99E-05,0.424353684,1,,,,200,7.5,99.4,49.7,-970.7522155,-970.7523026,68.50767374,0.175241282,3.55899E-07,643413.4,79.88162363
0,200,,35,150,2,-1660.994152,-1660.994154,4.83E-05,8.900116095,0.192259582,3377,80.68485362,-1660.994049,9.02E-05,-0.000104429,3.577286452,1279,,,,200,13,71.2,35.6,-631.0735174,-631.074,989.4399605,0.172126907,0.001750477,10068444.6,83.16374208
0,200,,33,146,2,-1826.726881,-1826.726944,0,22.56715487,0.183480435,3995,85.01622148,-1826.696652,1.68E-05,-0.030292001,2.906798537,1178,,,,200,25,23,11.5,-117.1235582,-117.124,846.2639995,0.158934133,2.94546E-06,9400214.2,84.76356714
0,200,,39,143,2,-1675.889079,-1675.889094,5.23E-05,233.6846646,0.196150047,44240,81.70695291,-1675.88901,1.59E-07,-8.34E-05,7.436832489,5948,,,,200,50,0,0,-2.63147E-10,0.000,0.62978636,0.158105635,0,6.8,80.77625525
0,200,,46,146,2,-1694.198027,-1694.198005,0,31.67062698,0.187471069,8694,80.37969102,-1694.197925,9.09E-05,-8.07E-05,3.80439559,4445,,,,,,,,,,,,,,
0,200,,33,152,2,-1548.672938,-1548.672944,0,97.46450011,0.194442014,23298,79.90419369,-1548.672859,1.32E-05,-8.44E-05,4.00605588,10043,,,,,,,,,,,,,,
0,200,,29,133,5,-1533.779717,-1533.779719,1.07E-05,376.6538065,0.182319691,126464,86.17873656,-1533.779593,2.61E-07,-0.000126455,8.516951515,38409,,,,,,,,,,,,,,
0,200,,39,116,5,-1226.123943,-1226.123935,0,111.6741551,0.17196347,32267,79.3628699,-1226.123838,2.80E-07,-9.71E-05,2.581598678,5206,,,,,,,,,,,,,,
0,200,,37,123,5,-1473.893388,-1473.893391,0,161.9593376,0.177994829,56027,83.20701482,-1473.89329,2.66E-07,-0.000100657,4.758097289,12532,,,,,,,,,,,,,,
0,200,,40,130,5,-1462.945197,-1462.945182,1.22E-05,1364.475333,0.177085887,433235,85.18688676,-1462.904035,2.83E-05,-0.04114691,11.31475609,52319,,,,,,,,,,,,,,
0,200,,41,107,5,-1141.783622,-1141.783646,0,1233.774342,0.179568364,337561,77.54132348,-1141.783529,2.79E-07,-0.000116763,10.73569728,36929,,,,,,,,,,,,,,
0,200,,36,125,5.5,-1341.079607,-1341.079599,0,75.90177573,0.18758991,19069,81.71271001,-1341.079597,0,-1.19E-06,3.84685917,9557,,,,,,,,,,,,,,
0,200,,35,104,5.5,-985.9491733,-985.9491643,0,1001.767877,0.176564239,365935,76.96683975,-985.9490372,1.70E-06,-0.000127066,18.36129967,94104,,,,,,,,,,,,,,
0,200,,34,129,5.5,-1403.66692,-1403.666911,0,1246.159073,0.178925544,458971,85.72361598,-1403.666902,5.38E-05,-9.04E-06,8.526366924,50589,,,,,,,,,,,,,,
0,200,,33,117,5.5,-1203.191167,-1203.190994,0,3323.326476,0.178772259,1153198,82.62278408,-1203.19098,3.34E-07,-1.40E-05,34.01140211,309293,,,,,,,,,,,,,,
0,200,,31,118,5.5,-1176.393675,-1176.390386,0.002381186,3600.043909,0.171403636,1465498,80.6129352,-1176.390379,4.29E-05,-6.53E-06,28.54259836,184764,,,,,,,,,,,,,,
0,200,,21,99,7.5,-1010.053348,-1010.05334,0,292.0879428,0.171285847,86226,79.41265478,-1010.053218,4.04E-07,-0.000122302,5.858301141,29509,,,,,,,,,,,,,,
0,200,,34,104,7.5,-929.2412072,-929.2412195,0,541.4753123,0.169398103,170689,77.34063538,-929.2412095,0,-9.91666E-06,18.58057638,112323,,,,,,,,,,,,,,
0,200,,50,113,7.5,-1309.356891,-1309.356889,0.00324612,3600.0735,0.179150541,1535414,85.99814384,-1309.356696,4.75E-07,-0.000193685,67.07372786,546691,,,,,,,,,,,,,,
0,200,,22,92,7.5,-748.7816443,-748.7816576,0.010482174,3600.021614,0.172901553,1343120,77.49349083,-748.7816494,4.34E-07,-8.16928E-06,151.1008821,1674483,,,,,,,,,,,,,,
0,200,,31,89,7.5,-856.3284317,-856.3284064,0.006730262,3600.033912,0.183470366,1174718,79.16319332,-856.3283051,4.67E-07,-0.000101284,99.92488126,854061,,,,,,,,,,,,,,
0,200,,29,75,13,-720.8934085,-720.8933973,0.011718923,3600.074234,0.167608092,1301636,84.75531553,-720.8933726,4.98E-07,-2.47E-05,58.44552614,703689,,,,,,,,,,,,,,
0,200,,25,79,13,-767.6495056,-767.6495005,0.016610483,3600.060826,0.181335453,941970,86.84996237,-767.6494908,5.04E-05,-9.75E-06,125.2132779,968714,,,,,,,,,,,,,,
0,200,,44,61,13,-438.9150316,-438.915021,0.048103659,3600.059568,0.168585731,1185441,81.59035485,-438.9150199,2.26E-06,-1.14E-06,606.6512728,7599323,,,,,,,,,,,,,,
0,200,,30,72,13,-693.5403918,-693.5403931,0.022621214,3600.031546,0.175025335,939838,82.94942129,-693.5403806,2.13E-05,-1.24E-05,556.8447761,3400667,,,,,,,,,,,,,,
0,200,,39,69,13,-534.369335,-534.369326,0.041800083,3600.03736,0.168079924,1370109,79.67365637,-534.3693229,0.008677991,-3.12E-06,3600.04495,37669830,,,,,,,,,,,,,,
0,200,,31,23,25,-137.4133994,-137.4133964,0,1240.519011,0.15141178,509227,84.36851237,-137.4133962,0,-2.11E-07,20.02088044,237222,,,,,,,,,,,,,,
0,200,,46,18,25,-86.70441732,-86.70441057,0.174513754,3600.055036,0.159552553,1515525,81.44316366,-86.70437006,1.46E-06,-4.05E-05,98.57293575,1166718,,,,,,,,,,,,,,
0,200,,38,34,25,-166.5185994,-166.5185886,0.21124704,3600.042393,0.156448858,1647419,84.67796911,-166.5185298,1.33E-05,-5.88E-05,1757.09558,21645882,,,,,,,,,,,,,,
0,200,,23,21,25,-102.2976965,-102.2976898,0.404753872,3600.070547,0.163771479,1046460,88.85152145,-102.2976896,7.79E-10,-2.28E-07,2158.898228,21321295,,,,,,,,,,,,,,
0,200,,33,19,25,-92.68381043,-92.68380621,0.213098989,3600.112458,0.163485995,1616933,84.47666909,-92.68380546,1.50E-10,-7.48E-07,196.7323732,2629954,,,,,,,,,,,,,,
0,200,,39,0,50,0,0,0,0.437217115,0.160568101,13,78.24619794,-1.84E-10,0,1.84E-10,0.743704463,3,,,,,,,,,,,,,,
0,200,,23,0,50,0,0,0,0.421262788,0.157248178,11,80.67898278,-7.19E-10,0,7.19E-10,0.795106417,5,,,,,,,,,,,,,,
0,200,,38,0,50,0,0,0,1.330780964,0.158401698,19,84.75707556,0,0,0,0.471101168,15,,,,,,,,,,,,,,
0,200,,40,0,50,0,0,0,0.332675152,0.156468707,89,78.10505095,-4.12E-10,0,4.12E-10,0.665867964,5,,,,,,,,,,,,,,
0,200,,28,0,50,0,0,0,0.461473309,0.157841492,13,82.09396902,0,0,0,0.473151788,6,,,,,,,,,,,,,,
